Páginas principales,Clics,Impresiones,CTR,Posición
https://www.myenglishspotclasses.com/clases-ingles-verano,1,11,9.09%,6.82
https://www.myenglishspotclasses.com/,0,80,0%,13.66
https://www.myenglishspotclasses.com/blog/como-preparar-el-first-certificate-fce,0,50,0%,35.68
https://www.myenglishspotclasses.com/blog,0,10,0%,4.9
https://www.myenglishspotclasses.com/preparacion-first-cambridge,0,10,0%,18.3
https://www.myenglishspotclasses.com/niveles-ingles-examenes,0,5,0%,6.2
https://www.myenglishspotclasses.com/aviso-legal.html,0,4,0%,4
https://www.myenglishspotclasses.com/clases-ingles-vigo,0,4,0%,7
https://www.myenglishspotclasses.com/politica-privacidad.html,0,3,0%,2.67
https://www.myenglishspotclasses.com/politica-cookies.html,0,3,0%,7